,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,internet_service_type_id,internet_service_type,contract_type_id,contract_type,payment_type_id,payment_type
13,0156-FVPTA,Male,0,Yes,No,22,Yes,No,1,Yes,No,No,Yes,No,No,1,Yes,1,54.2,1152.7,Yes,1,DSL,1,Month-to-month,1,Electronic check
14,0191-ZHSKZ,Male,1,No,No,30,Yes,No,1,Yes,Yes,No,No,Yes,Yes,1,Yes,1,74.75,2111.3,No,1,DSL,1,Month-to-month,1,Electronic check
15,0212-ISBBF,Female,0,No,No,22,No,No phone service,1,No,Yes,No,No,Yes,Yes,1,Yes,1,50.35,1098.85,No,1,DSL,1,Month-to-month,1,Electronic check
16,0222-CNVPT,Male,1,No,No,52,No,No phone service,1,Yes,No,No,No,Yes,Yes,1,Yes,4,48.8,2555.05,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
17,0224-HJAPT,Male,0,No,No,5,Yes,Yes,1,No,No,No,No,No,No,1,No,1,47.15,223.15,Yes,1,DSL,1,Month-to-month,1,Electronic check
18,0224-RLWWD,Female,1,No,No,2,Yes,No,1,No,No,No,No,No,No,1,Yes,1,44.3,89.3,No,1,DSL,1,Month-to-month,1,Electronic check
19,0228-MAUWC,Male,0,No,No,19,Yes,Yes,1,No,No,Yes,Yes,No,No,1,No,1,59.55,1144.6,No,1,DSL,1,Month-to-month,1,Electronic check
20,0248-IPDFW,Female,0,No,No,1,Yes,Yes,1,No,No,No,No,No,No,1,Yes,1,50.1,50.1,No,1,DSL,1,Month-to-month,1,Electronic check
21,0257-KXZGU,Female,0,Yes,Yes,32,Yes,Yes,1,No,Yes,Yes,No,No,No,1,No,3,62.45,2045.55,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
22,0260-ZDLGK,Female,0,No,Yes,9,Yes,No,1,No,No,Yes,Yes,Yes,Yes,1,Yes,2,72.9,651.4,Yes,1,DSL,1,Month-to-month,2,Mailed check
23,0274-JKUJR,Male,0,Yes,Yes,7,No,No phone service,1,Yes,Yes,Yes,No,Yes,Yes,1,No,2,58.85,465.7,No,1,DSL,1,Month-to-month,2,Mailed check
24,0277-BKSQP,Male,0,Yes,Yes,8,Yes,No,1,No,No,No,No,Yes,No,1,Yes,1,54.4,475.1,No,1,DSL,1,Month-to-month,1,Electronic check
25,0282-NVSJS,Female,1,Yes,Yes,12,No,No phone service,1,No,No,No,Yes,No,No,1,Yes,2,29.3,355.9,No,1,DSL,1,Month-to-month,2,Mailed check
26,0285-INHLN,Male,0,Yes,Yes,27,Yes,No,1,Yes,Yes,No,No,No,No,1,Yes,4,54.75,1510.3,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
27,0289-IVARM,Female,0,No,No,35,Yes,No,1,Yes,Yes,Yes,No,No,No,1,No,1,60.55,1982.6,No,1,DSL,1,Month-to-month,1,Electronic check
28,0292-WEGCH,Female,0,Yes,Yes,54,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,1,Yes,1,86.2,4524.05,No,1,DSL,1,Month-to-month,1,Electronic check
29,0295-QVKPB,Male,0,No,No,5,Yes,No,1,No,No,Yes,Yes,Yes,No,1,Yes,4,63.95,318.1,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
30,0311-QYWSS,Female,0,No,No,6,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,49.45,314.6,No,1,DSL,1,Month-to-month,1,Electronic check
31,0314-TKOSI,Female,0,No,No,6,Yes,No,1,Yes,Yes,No,No,No,No,1,No,2,55.15,322.9,No,1,DSL,1,Month-to-month,2,Mailed check
32,0319-QZTCO,Female,0,Yes,Yes,3,Yes,No,1,No,Yes,No,No,Yes,No,1,Yes,4,58.7,168.6,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
33,0322-CHQRU,Male,0,No,No,2,Yes,No,1,No,No,No,No,No,No,1,No,1,45.35,89.5,Yes,1,DSL,1,Month-to-month,1,Electronic check
34,0322-YINQP,Male,0,No,No,1,Yes,No,1,Yes,No,No,No,No,No,1,Yes,2,48.55,48.55,Yes,1,DSL,1,Month-to-month,2,Mailed check
35,0356-ERHVT,Male,0,Yes,No,11,Yes,No,1,No,No,No,No,No,No,1,Yes,3,45.9,521.9,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
36,0374-AACSZ,Female,0,No,No,1,Yes,No,1,Yes,No,No,No,No,No,1,No,1,50.15,50.15,No,1,DSL,1,Month-to-month,1,Electronic check
37,0374-IOEGQ,Female,0,No,No,3,Yes,No,1,No,No,No,No,No,No,1,No,1,44.6,122.7,No,1,DSL,1,Month-to-month,1,Electronic check
38,0375-HVGXO,Female,0,No,No,1,No,No phone service,1,No,No,No,No,Yes,No,1,Yes,1,34.7,34.7,Yes,1,DSL,1,Month-to-month,1,Electronic check
39,0377-JBKKT,Male,0,Yes,Yes,22,Yes,No,1,Yes,Yes,No,Yes,No,No,1,Yes,2,57.95,1271.8,No,1,DSL,1,Month-to-month,2,Mailed check
40,0384-RVBPI,Male,0,No,No,20,Yes,No,1,Yes,No,Yes,No,No,Yes,1,No,4,64.4,1398.6,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
41,0396-UKGAI,Male,0,No,Yes,23,Yes,No,1,No,Yes,No,Yes,No,No,1,Yes,3,55.3,1284.2,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
42,0411-EZJZE,Female,0,No,No,3,Yes,Yes,1,No,No,No,No,Yes,No,1,Yes,1,60.25,170.5,No,1,DSL,1,Month-to-month,1,Electronic check
43,0415-MOSGF,Female,0,No,No,1,Yes,No,1,No,No,No,No,No,No,1,No,2,44.4,44.4,Yes,1,DSL,1,Month-to-month,2,Mailed check
44,0420-BWTPW,Male,0,No,Yes,8,No,No phone service,1,No,No,No,No,No,No,1,No,2,25.5,215.2,Yes,1,DSL,1,Month-to-month,2,Mailed check
45,0423-UDIJQ,Male,1,No,No,9,Yes,No,1,No,No,No,Yes,No,No,1,No,2,49.2,447.9,No,1,DSL,1,Month-to-month,2,Mailed check
46,0430-IHCDJ,Male,0,No,No,15,Yes,Yes,1,No,No,No,No,No,No,1,Yes,1,49.0,749.25,No,1,DSL,1,Month-to-month,1,Electronic check
47,0440-QEXBZ,Female,0,No,No,44,Yes,Yes,1,No,No,No,No,No,No,1,Yes,2,50.15,2139.1,No,1,DSL,1,Month-to-month,2,Mailed check
48,0447-BEMNG,Female,0,Yes,No,48,No,No phone service,1,Yes,No,Yes,No,No,Yes,1,Yes,3,45.3,2145,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
49,0463-ZSDNT,Male,0,No,No,10,Yes,No,1,No,No,No,No,No,Yes,1,Yes,3,56.75,503.25,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
50,0516-WJVXC,Female,0,No,No,5,Yes,No,1,Yes,No,No,Yes,No,No,1,No,1,54.2,308.25,Yes,1,DSL,1,Month-to-month,1,Electronic check
51,0523-VNGTF,Female,1,No,No,52,No,No phone service,1,No,Yes,Yes,Yes,Yes,No,1,Yes,1,50.5,2566.3,No,1,DSL,1,Month-to-month,1,Electronic check
52,0541-FITGH,Female,0,Yes,No,2,Yes,No,1,Yes,No,No,No,No,Yes,1,Yes,2,62.15,113.1,No,1,DSL,1,Month-to-month,2,Mailed check
53,0550-DCXLH,Male,0,No,No,13,Yes,No,1,No,Yes,No,Yes,Yes,Yes,1,No,2,73.35,931.55,No,1,DSL,1,Month-to-month,2,Mailed check
54,0567-GGCAC,Female,0,No,No,7,Yes,No,1,Yes,Yes,Yes,No,No,No,1,No,1,61.4,438.9,No,1,DSL,1,Month-to-month,1,Electronic check
55,0584-BJQGZ,Female,0,No,No,25,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,1,Yes,3,78.35,1837.9,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
56,0587-DMGBH,Female,0,No,No,8,Yes,No,1,Yes,No,No,No,No,No,1,Yes,1,49.85,365.55,Yes,1,DSL,1,Month-to-month,1,Electronic check
57,0601-WZHJF,Male,0,Yes,No,14,No,No phone service,1,No,No,No,No,Yes,Yes,1,No,1,46.35,667.7,Yes,1,DSL,1,Month-to-month,1,Electronic check
58,0603-OLQDC,Male,0,No,Yes,12,Yes,No,1,Yes,No,No,No,Yes,Yes,1,Yes,2,69.85,837.5,No,1,DSL,1,Month-to-month,2,Mailed check
59,0612-RTZZA,Female,1,No,No,1,No,No phone service,1,No,No,No,No,No,No,1,No,1,25.25,25.25,Yes,1,DSL,1,Month-to-month,1,Electronic check
60,0616-ATFGB,Male,1,Yes,No,1,No,No phone service,1,No,No,No,No,No,No,1,No,1,25.05,25.05,Yes,1,DSL,1,Month-to-month,1,Electronic check
61,0621-TWIEM,Male,0,No,No,10,Yes,No,1,No,No,No,No,No,No,1,Yes,1,45.55,402.6,Yes,1,DSL,1,Month-to-month,1,Electronic check
62,0623-GDISB,Female,0,No,No,1,Yes,No,1,Yes,No,No,No,No,No,1,Yes,3,48.45,48.45,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
63,0623-IIHUG,Female,1,No,No,21,No,No phone service,1,Yes,No,No,No,Yes,No,1,Yes,1,41.9,840.1,Yes,1,DSL,1,Month-to-month,1,Electronic check
64,0655-YDGFJ,Male,0,No,No,29,Yes,No,1,No,No,Yes,No,No,No,1,No,3,48.95,1323.7,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
65,0661-XEYAN,Female,1,No,No,1,No,No phone service,1,No,No,No,No,No,No,1,Yes,2,25.8,25.8,Yes,1,DSL,1,Month-to-month,2,Mailed check
66,0668-OGMHD,Female,0,Yes,No,21,No,No phone service,1,Yes,No,No,No,No,No,1,No,1,28.5,629.35,No,1,DSL,1,Month-to-month,1,Electronic check
67,0674-EYYZV,Female,0,No,No,1,Yes,No,1,No,No,No,No,Yes,No,1,Yes,1,54.65,54.65,No,1,DSL,1,Month-to-month,1,Electronic check
68,0696-UKTOX,Male,0,No,Yes,23,Yes,No,1,No,Yes,No,Yes,No,No,1,No,1,54.15,1312.45,No,1,DSL,1,Month-to-month,1,Electronic check
69,0699-NDKJM,Female,0,Yes,No,57,No,No phone service,1,Yes,Yes,Yes,No,Yes,Yes,1,Yes,3,58.75,3437.45,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
70,0701-TJSEF,Male,0,No,No,9,Yes,No,1,Yes,No,Yes,Yes,No,Yes,1,Yes,3,68.25,576.95,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
71,0708-LGSMF,Male,0,Yes,No,13,Yes,Yes,1,Yes,No,No,No,No,Yes,1,Yes,1,65.85,902.25,No,1,DSL,1,Month-to-month,1,Electronic check
72,0708-SJDIS,Female,0,No,No,34,Yes,Yes,1,No,No,No,Yes,Yes,No,1,No,2,65.0,2157.5,No,1,DSL,1,Month-to-month,2,Mailed check
73,0719-SYFRB,Female,0,No,No,12,Yes,Yes,1,Yes,No,Yes,Yes,No,No,1,Yes,2,61.65,713.75,Yes,1,DSL,1,Month-to-month,2,Mailed check
74,0733-VUNUW,Male,0,No,No,24,Yes,Yes,1,Yes,No,No,No,No,No,1,Yes,3,55.65,1400.55,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
75,0734-OXWBT,Male,0,No,Yes,3,Yes,No,1,No,No,No,Yes,Yes,Yes,1,No,2,70.7,225.65,No,1,DSL,1,Month-to-month,2,Mailed check
76,0742-MOABM,Male,0,Yes,No,4,Yes,No,1,No,No,No,Yes,No,No,1,No,2,50.05,179.35,Yes,1,DSL,1,Month-to-month,2,Mailed check
77,0746-JTRFU,Male,0,No,No,2,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,25.05,56.35,Yes,1,DSL,1,Month-to-month,1,Electronic check
78,0749-IRGQE,Female,1,Yes,No,13,No,No phone service,1,No,No,No,No,Yes,Yes,1,No,1,45.3,528.45,No,1,DSL,1,Month-to-month,1,Electronic check
79,0774-IFUVM,Male,0,Yes,Yes,11,Yes,Yes,1,Yes,No,No,No,Yes,No,1,Yes,3,65.15,723.35,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
80,0778-NELLA,Male,0,No,No,9,No,No phone service,1,No,No,No,No,Yes,No,1,Yes,4,34.7,296.1,Yes,1,DSL,1,Month-to-month,4,Credit card (automatic)
81,0786-VSSUD,Male,1,No,No,16,No,No phone service,1,No,Yes,No,No,Yes,No,1,Yes,2,39.0,679.85,Yes,1,DSL,1,Month-to-month,2,Mailed check
82,0799-DDIHE,Female,0,Yes,Yes,15,Yes,No,1,No,No,No,No,No,No,1,No,1,46.3,639.45,No,1,DSL,1,Month-to-month,1,Electronic check
83,0804-XBFBV,Female,0,No,Yes,11,No,No phone service,1,No,No,No,No,No,No,1,No,1,25.2,321.05,No,1,DSL,1,Month-to-month,1,Electronic check
84,0807-ZABDG,Female,0,No,Yes,3,Yes,No,1,Yes,No,No,Yes,No,No,1,Yes,2,55.1,154.65,Yes,1,DSL,1,Month-to-month,2,Mailed check
85,0811-GSDTP,Female,0,No,Yes,13,No,No phone service,1,No,Yes,No,No,No,No,1,No,1,30.15,382.2,No,1,DSL,1,Month-to-month,1,Electronic check
86,0817-HSUSE,Male,0,No,No,1,Yes,No,1,No,No,Yes,Yes,Yes,Yes,1,Yes,1,75.5,75.5,No,1,DSL,1,Month-to-month,1,Electronic check
87,0820-FNRNX,Male,0,Yes,Yes,17,Yes,Yes,1,No,Yes,Yes,Yes,No,No,1,Yes,2,66.7,1077.05,No,1,DSL,1,Month-to-month,2,Mailed check
88,0822-GAVAP,Female,0,No,No,2,No,No phone service,1,No,No,No,No,No,Yes,1,Yes,1,34.7,62.25,Yes,1,DSL,1,Month-to-month,1,Electronic check
89,0822-QGCXA,Female,1,Yes,No,27,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,1,No,1,83.85,2310.2,No,1,DSL,1,Month-to-month,1,Electronic check
90,0823-HSCDJ,Male,1,No,No,52,No,No phone service,1,No,Yes,No,No,Yes,Yes,1,Yes,1,49.15,2550.9,Yes,1,DSL,1,Month-to-month,1,Electronic check
91,0836-SEYLU,Male,0,Yes,No,9,No,No phone service,1,No,No,No,Yes,Yes,No,1,No,2,40.65,328.95,Yes,1,DSL,1,Month-to-month,2,Mailed check
92,0841-NULXI,Male,0,No,No,1,No,No phone service,1,No,No,No,No,No,Yes,1,Yes,1,35.55,35.55,Yes,1,DSL,1,Month-to-month,1,Electronic check
93,0842-IWYCP,Female,0,No,No,46,Yes,No,1,No,No,No,No,No,No,1,No,3,44.95,2168.9,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
94,0851-DFJKB,Female,0,No,No,15,Yes,No,1,Yes,No,Yes,Yes,No,No,1,No,1,58.95,955.15,No,1,DSL,1,Month-to-month,1,Electronic check
95,0856-NAOES,Male,0,No,No,6,Yes,No,1,No,No,Yes,No,Yes,No,1,No,2,60.9,414.1,No,1,DSL,1,Month-to-month,2,Mailed check
96,0867-LDTTC,Male,0,No,No,5,Yes,No,1,No,No,Yes,Yes,Yes,Yes,1,No,3,75.15,392.65,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
97,0870-VEMYL,Female,0,No,No,5,Yes,No,1,Yes,No,No,Yes,No,No,1,No,4,53.85,259.8,Yes,1,DSL,1,Month-to-month,4,Credit card (automatic)
98,0872-JCPIB,Male,0,No,No,17,Yes,Yes,1,Yes,No,No,No,No,Yes,1,No,3,65.75,1111.2,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
99,0887-HJGAR,Male,0,No,No,1,Yes,No,1,No,No,No,No,No,No,1,Yes,2,45.7,45.7,Yes,1,DSL,1,Month-to-month,2,Mailed check
100,0909-SDHNU,Female,0,No,Yes,7,No,No phone service,1,Yes,No,No,No,No,No,1,No,2,29.8,201.95,No,1,DSL,1,Month-to-month,2,Mailed check
101,0928-JMXNP,Male,1,Yes,No,4,No,No phone service,1,No,No,Yes,No,No,No,1,Yes,1,29.9,118.25,No,1,DSL,1,Month-to-month,1,Electronic check
102,0929-HYQEW,Male,0,No,No,3,Yes,No,1,Yes,No,No,No,No,No,1,Yes,2,50.15,160.85,No,1,DSL,1,Month-to-month,2,Mailed check
103,0939-EREMR,Female,0,No,Yes,13,Yes,No,1,No,No,Yes,Yes,No,No,1,No,2,53.45,718.1,No,1,DSL,1,Month-to-month,2,Mailed check
104,0953-LGOVU,Male,0,Yes,Yes,12,No,No phone service,1,No,Yes,No,Yes,No,No,1,No,2,35.5,432.25,No,1,DSL,1,Month-to-month,2,Mailed check
105,0975-VOOVL,Female,0,No,No,3,No,No phone service,1,No,Yes,No,No,No,No,1,No,2,29.2,98.5,No,1,DSL,1,Month-to-month,2,Mailed check
106,0980-PVMRC,Female,0,Yes,Yes,40,No,No phone service,1,No,Yes,No,No,Yes,Yes,1,Yes,1,50.85,2036.55,No,1,DSL,1,Month-to-month,1,Electronic check
107,0988-JRWWP,Female,0,No,No,3,Yes,No,1,No,No,No,No,Yes,No,1,Yes,1,54.2,140.4,No,1,DSL,1,Month-to-month,1,Electronic check
108,0991-BRRFB,Male,0,No,No,18,Yes,No,1,Yes,No,No,No,No,No,1,No,1,49.4,874.8,Yes,1,DSL,1,Month-to-month,1,Electronic check
109,0997-YTLNY,Female,0,No,Yes,19,Yes,No,1,No,No,No,Yes,No,No,1,No,2,48.8,953.65,No,1,DSL,1,Month-to-month,2,Mailed check
110,0999-QXNSA,Male,1,No,Yes,7,Yes,No,1,No,No,No,No,No,No,1,Yes,2,45.75,344.2,No,1,DSL,1,Month-to-month,2,Mailed check
111,1024-GUALD,Female,0,Yes,No,1,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,24.8,24.8,Yes,1,DSL,1,Month-to-month,1,Electronic check
112,1036-GUDCL,Male,0,Yes,Yes,60,Yes,No,1,Yes,Yes,No,Yes,Yes,Yes,1,Yes,4,79.05,4663.4,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
113,1049-FYSYG,Female,0,Yes,No,17,No,No phone service,1,No,Yes,Yes,No,No,No,1,Yes,4,35.65,646.05,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
114,1078-TDCRN,Female,1,Yes,No,3,No,No phone service,1,No,Yes,No,No,No,No,1,Yes,1,30.75,82.85,No,1,DSL,1,Month-to-month,1,Electronic check
115,1089-HDMKP,Male,1,No,Yes,11,Yes,No,1,No,Yes,No,Yes,No,No,1,Yes,1,54.55,601.25,No,1,DSL,1,Month-to-month,1,Electronic check
116,1097-FSPVW,Female,0,No,No,42,Yes,No,1,Yes,No,Yes,No,No,No,1,No,4,54.55,2455.05,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
117,1100-DDVRV,Male,0,Yes,No,17,No,No phone service,1,No,Yes,No,No,Yes,Yes,1,Yes,2,49.8,836.35,No,1,DSL,1,Month-to-month,2,Mailed check
118,1101-SSWAG,Female,0,Yes,No,15,Yes,Yes,1,No,No,No,No,No,No,1,Yes,1,51.1,711.15,No,1,DSL,1,Month-to-month,1,Electronic check
119,1104-FEJAM,Male,0,Yes,Yes,28,Yes,Yes,1,No,Yes,No,No,No,Yes,1,No,1,64.4,1802.15,No,1,DSL,1,Month-to-month,1,Electronic check
120,1114-CENIM,Male,0,No,Yes,54,Yes,Yes,1,No,Yes,No,No,No,No,1,Yes,4,55.0,3092.65,Yes,1,DSL,1,Month-to-month,4,Credit card (automatic)
121,1120-BMWUB,Female,0,No,No,16,Yes,No,1,No,Yes,No,Yes,No,No,1,Yes,2,53.9,834.15,Yes,1,DSL,1,Month-to-month,2,Mailed check
122,1125-SNVCK,Female,1,No,No,49,Yes,No,1,No,No,No,No,No,No,1,No,2,43.8,2106.05,No,1,DSL,1,Month-to-month,2,Mailed check
123,1134-YWTYF,Male,0,Yes,No,27,Yes,No,1,No,Yes,No,Yes,No,No,1,Yes,1,53.8,1389.85,No,1,DSL,1,Month-to-month,1,Electronic check
124,1142-WACZW,Male,0,No,No,2,No,No phone service,1,No,No,No,Yes,No,No,1,No,3,29.85,75.6,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
125,1163-ONYEY,Male,0,Yes,Yes,41,Yes,Yes,1,Yes,Yes,Yes,No,Yes,No,1,Yes,4,74.55,3023.55,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
126,1202-KKGFU,Female,0,Yes,No,12,Yes,No,1,Yes,No,No,Yes,No,No,1,No,3,54.2,690.5,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
127,1205-WNWPJ,Female,0,No,No,7,Yes,No,1,No,No,No,Yes,Yes,No,1,Yes,2,59.5,415.95,Yes,1,DSL,1,Month-to-month,2,Mailed check
128,1208-NBVFH,Male,0,Yes,Yes,20,Yes,No,1,No,No,Yes,No,No,No,1,Yes,1,49.6,939.8,No,1,DSL,1,Month-to-month,1,Electronic check
129,1213-NGCUN,Female,0,No,No,6,Yes,No,1,No,No,No,Yes,No,No,1,Yes,3,49.65,267.35,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
130,1215-VFYVK,Female,0,No,No,4,No,No phone service,1,Yes,No,Yes,Yes,No,Yes,1,No,2,48.25,202.25,No,1,DSL,1,Month-to-month,2,Mailed check
131,1226-UDFZR,Female,0,No,No,2,Yes,No,1,No,Yes,No,No,No,No,1,Yes,2,49.6,114.7,Yes,1,DSL,1,Month-to-month,2,Mailed check
132,1230-QAJDW,Male,0,No,No,3,Yes,Yes,1,No,No,No,Yes,Yes,No,1,Yes,2,65.25,209.9,No,1,DSL,1,Month-to-month,2,Mailed check
133,1247-QBVSH,Female,0,Yes,Yes,43,Yes,No,1,No,Yes,No,No,No,No,1,No,2,50.2,2169.4,No,1,DSL,1,Month-to-month,2,Mailed check
134,1251-KRREG,Male,0,No,No,2,Yes,Yes,1,No,Yes,No,No,No,No,1,Yes,2,54.4,114.1,Yes,1,DSL,1,Month-to-month,2,Mailed check
135,1260-TTRXI,Male,0,No,No,4,Yes,No,1,No,No,No,No,No,Yes,1,No,1,54.3,195.3,Yes,1,DSL,1,Month-to-month,1,Electronic check
136,1261-FWTTE,Male,1,No,No,23,No,No phone service,1,No,No,No,No,No,Yes,1,Yes,3,34.65,768.45,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
137,1271-SJBGZ,Male,1,No,No,12,No,No phone service,1,No,No,Yes,Yes,No,Yes,1,Yes,1,43.65,526.95,Yes,1,DSL,1,Month-to-month,1,Electronic check
138,1304-BCCFO,Male,0,Yes,No,9,Yes,No,1,No,No,Yes,No,Yes,Yes,1,Yes,2,70.05,564.4,No,1,DSL,1,Month-to-month,2,Mailed check
139,1310-QRITU,Female,0,No,No,18,Yes,Yes,1,No,No,No,No,No,No,1,Yes,1,50.3,913.3,No,1,DSL,1,Month-to-month,1,Electronic check
140,1322-AGOQM,Male,0,No,No,46,No,No phone service,1,No,Yes,No,No,No,No,1,No,3,30.3,1380.1,Yes,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
141,1324-NLTJE,Female,1,No,No,15,Yes,Yes,1,No,No,No,Yes,No,No,1,No,4,55.0,757.1,Yes,1,DSL,1,Month-to-month,4,Credit card (automatic)
142,1329-VHWNP,Female,0,No,No,7,No,No phone service,1,No,No,No,No,No,No,1,No,3,25.05,189.95,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
143,1334-FJSVR,Male,0,No,No,1,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,24.25,24.25,Yes,1,DSL,1,Month-to-month,1,Electronic check
144,1335-NTIUC,Male,0,No,No,9,No,No phone service,1,No,No,No,No,No,No,1,Yes,1,24.95,190.25,No,1,DSL,1,Month-to-month,1,Electronic check
145,1352-VHKAJ,Male,0,Yes,Yes,27,Yes,Yes,1,No,No,No,Yes,Yes,Yes,1,No,3,71.6,1957.1,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
146,1353-LJWEM,Male,0,No,No,11,Yes,No,1,No,Yes,Yes,Yes,No,No,1,Yes,1,60.9,688.5,No,1,DSL,1,Month-to-month,1,Electronic check
147,1355-KUSBG,Female,0,Yes,Yes,7,Yes,Yes,1,No,No,No,No,No,No,1,No,1,48.8,349.8,No,1,DSL,1,Month-to-month,1,Electronic check
148,1356-MKYSK,Male,0,No,No,6,Yes,No,1,Yes,No,Yes,Yes,Yes,Yes,1,No,4,78.65,483.3,No,1,DSL,1,Month-to-month,4,Credit card (automatic)
149,1357-MVDOZ,Male,0,Yes,Yes,11,Yes,No,1,No,No,Yes,No,Yes,No,1,Yes,3,59.65,683.25,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
150,1360-RCYRT,Male,0,Yes,Yes,23,No,No phone service,1,No,No,No,Yes,No,No,1,Yes,3,30.35,678.75,No,1,DSL,1,Month-to-month,3,Bank transfer (automatic)
151,1373-ORVIZ,Female,0,Yes,Yes,11,Yes,Yes,1,No,No,No,Yes,No,Yes,1,Yes,1,66.35,740.8,Yes,1,DSL,1,Month-to-month,1,Electronic check
